ID	Name	UiID	RepresentDec	RepresentID	ColorID	ColorID1	ColorID2	Genre	SubType	DetailType	Price	Level	BindType	MaxDurability	AbradeRate	MaxExistTime	MaxExistAmount	CanTrade	CanDestroy	SetID	ScriptName	Quality	Base1Type	Base1Min	Base1Max	Base2Type	Base2Min	Base2Max	Base3Type	Base3Min	Base3Max	Base4Type	Base4Min	Base4Max	Base5Type	Base5Min	Base5Max	Base6Type	Base6Min	Base6Max	Require1Type	Require1Value	Require2Type	Require2Value	Require3Type	Require3Value	Require4Type	Require4Value	Require5Type	Require5Value	Require6Type	Require6Value	Magic1Type	Magic2Type	Magic3Type	Magic4Type	Magic5Type	Magic6Type	Magic7Type	Magic8Type	Magic9Type	Magic10Type	Magic11Type	Magic12Type	Magic13Type	Magic14Type	Magic15Type	Magic16Type	SkillID	SkillLevel	BelongSchool	MagicKind	MagicType	GetType	_CATEGORY	CoolDownID	IconTag1	IconTag2	IsSpecialIcon	IsSpecialRepresent	CanSetColor	AucGenre	AucSubType	RequireCamp	RequireProfessionID	RequireProfessionLevel	RequireProfessionBranch	PackageGenerType	PackageSubType	TargetType	EnchantRepresentID1	EnchantRepresentID2	EnchantRepresentID3	EnchantRepresentID4	ExistType	DiamondTypeMask1	DiamondAttributeID1	DiamondTypeMask2	DiamondAttributeID2	DiamondTypeMask3	DiamondAttributeID3	EquipCoolDownID	RecommendID	MaxStrengthLevel	CanApart	MapBanUseItemMask	IgnoreBindMask	CanExterior	BelongForceMask	Represent1	SpecialRepair	CanChangeMagic	GrowthTabIndex	NeedGrowthExp	CanShared	MapBanTradeItemMask	MapCanExistItemMask	MapBanEquipItemMask	EquipUsage	BelongMap	_IsSpecialMagicType	RepairPriceRebate
120	天机钉	10045	　	0	0			0	13	7	0	90	2	200	0		0	1		0		3	atRangeWeaponDamageBase	7	7	atRangeWeaponDamageRand	5	5	atInvalid												5	20											0	0	0	0	0	0	0	0	0	0	0	0							通用	元气	基础	掉落			钉子					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
121	飞骨刀	10046	　	0	0			0	13	7	0	90	1	200	0		0	1		0		1	atRangeWeaponDamageBase	5	5	atRangeWeaponDamageRand	3	3	atInvalid												5	26											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1
122	飞刀·菊残	10047	　	0	0			0	13	7	0	96	2	200	0		0	1		0		2	atRangeWeaponDamageBase	6	6	atRangeWeaponDamageRand	4	4	atInvalid												5	28											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
123	连百镖	10048	　	0	0			0	13	7	0	8000	3	200	0		0	1		0		4	atRangeWeaponDamageBase	744	744	atRangeWeaponDamageRand	496	496	atInvalid												5	100											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	历程副本			飞镖					2	4	7																		735		6	0		4	0	67108863		0	1			0				1	万花25级		1
124	脱手镖·千红	10049	　	0	0			0	13	7	0	102	2	200	0		0	1		0		2	atRangeWeaponDamageBase	7	7	atRangeWeaponDamageRand	4	4	atInvalid												5	30											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	基础	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
125	飞刀·菊残	10050	　	0	0			0	13	7	0	108	2	200	0		0	1		0		2	atRangeWeaponDamageBase	7	7	atRangeWeaponDamageRand	5	5	atInvalid												5	32											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	伤害	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
126	削发飞刀	10051	　	0	0			0	13	7	0	108	3	200	0		0	1		0		2	atRangeWeaponDamageBase	7	7	atRangeWeaponDamageRand	5	5	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
127	脱手镖·千红	10052	　	0	0			0	13	7	0	114	2	200	0		0	1		0		2	atRangeWeaponDamageBase	7	7	atRangeWeaponDamageRand	5	5	atInvalid												5	34											0	0	0	0	0	0	0	0	0	0	0	0							通用	元气	伤害	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
128	石骨钉	10053	　	0	0			0	13	7	0	117	3	200	0		0	1		0		2	atRangeWeaponDamageBase	8	8	atRangeWeaponDamageRand	5	5	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			钉子					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
129	绝手镖·金笼	10054	　	0	0			0	13	7	0	120	2	200	0		0	1		0		2	atRangeWeaponDamageBase	8	8	atRangeWeaponDamageRand	5	5	atInvalid												5	36											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	基础	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
130	穿云箭	10055	　	0	0			0	13	7	0	120	2	200	0		0	1		0		3	atRangeWeaponDamageBase	9	9	atRangeWeaponDamageRand	6	6	atInvalid												5	30											0	0	0	0	0	0	0	0	0	0	0	0							通用	身法	基础	掉落			小箭					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
131	红杏刀	10056	　	0	0			0	13	7	0	120	2	200	0		0	1		0		3	atRangeWeaponDamageBase	9	9	atRangeWeaponDamageRand	6	6	atInvalid												5	30											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	基础	掉落			飞刀					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
132	青峰钉	10057	　	0	0			0	13	7	0	122	2	200	0		0	1		0		4	atRangeWeaponDamageBase	11	11	atRangeWeaponDamageRand	7	7	atInvalid												5	30											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	伤害	掉落			钉子					2	4	7																		735		2	0		0	0	67108863		0	0							1			1
133	碎月刀	10058	　	0	0			0	13	7	0	122	2	200	0		0	1		0		4	atRangeWeaponDamageBase	11	11	atRangeWeaponDamageRand	7	7	atInvalid												5	30											0	0	0	0	0	0	0	0	0	0	0	0							通用	元气	伤害	掉落			飞刀					2	4	7																		735		2	0		0	0	67108863		0	0							1			1
134	飞镖	10059	　	0	0			0	13	7	0	120	1	200	0		0	1		0		1	atRangeWeaponDamageBase	6	6	atRangeWeaponDamageRand	4	4	atInvalid												5	36											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1
135	绝手镖·金笼	10060	　	0	0			0	13	7	0	126	2	200	0		0	1		0		2	atRangeWeaponDamageBase	8	8	atRangeWeaponDamageRand	5	5	atInvalid												5	38											0	0	0	0	0	0	0	0	0	0	0	0							通用	身法	基础	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
136	绝手镖·荷落	10061	　	0	0			0	13	7	0	132	2	200	0		0	1		0		2	atRangeWeaponDamageBase	9	9	atRangeWeaponDamageRand	6	6	atInvalid												5	40											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
137	暴梨针	10062	　	0	0			0	13	7	0	6800	3	200	0		0	1		0		4	atRangeWeaponDamageBase	632	632	atRangeWeaponDamageRand	422	422	atInvalid												5	100											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	历程副本								2	4	7																		735		6	0		4	0	67108863		0	1			0				1	七秀40级		1
138	百珠囊	10063	　	0	0			0	13	7	0	135	3	200	0		0	1		0		3	atRangeWeaponDamageBase	10	10	atRangeWeaponDamageRand	7	7	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务			铁珠					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
139	绝手镖·金笼	10064	　	0	0			0	13	7	0	138	2	200	0		0	1		0		2	atRangeWeaponDamageBase	9	9	atRangeWeaponDamageRand	6	6	atInvalid												5	42											0	0	0	0	0	0	0	0	0	0	0	0							通用	力道	伤害	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
140	绝手镖·荷落	10065	　	0	0			0	13	7	0	144	2	200	0		0	1		0		2	atRangeWeaponDamageBase	9	9	atRangeWeaponDamageRand	6	6	atInvalid												5	44											0	0	0	0	0	0	0	0	0	0	0	0							通用	根骨	伤害	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
141	千机镞	10066	　	0	0			0	13	7	0	147	3	200	0		0	1		0		3	atRangeWeaponDamageBase	11	11	atRangeWeaponDamageRand	8	8	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1
142	金钱镖·阳花	10067	　	0	0			0	13	7	0	150	2	200	0		0	1		0		2	atRangeWeaponDamageBase	10	10	atRangeWeaponDamageRand	6	6	atInvalid												5	46											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
143	飞骨镖	10068	　	0	0			0	13	7	0	150	1	200	0		0	1		0		1	atRangeWeaponDamageBase	8	8	atRangeWeaponDamageRand	5	5	atInvalid												5	46											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1
144	暗之华	10069	　	0	0			0	13	7	0	183	3	200	0		0	1		0		3	atRangeWeaponDamageBase	14	14	atRangeWeaponDamageRand	10	10	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	0							1			1
145	金钱镖·阳花	10070	　	0	0			0	13	7	0	156	2	200	0		0	1		0		2	atRangeWeaponDamageBase	10	10	atRangeWeaponDamageRand	7	7	atInvalid												5	48											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
146	阿里曼飞镖	10071	　	0	0			0	13	7	0	156	3	200	0		0	1		0		3	atRangeWeaponDamageBase	12	12	atRangeWeaponDamageRand	8	8	atInvalid												5	37											0	0	0	0	0	0	0	0	0	0	0	0							——	通用	基础	副本								2	4	7																		735		1	0		4	0	67108863		0	0							1			1
147	金钱镖·逢春	10072	　	0	0			0	13	7	0	162	2	200	0		0	1		0		2	atRangeWeaponDamageBase	11	11	atRangeWeaponDamageRand	7	7	atInvalid												5	50											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
148	云锦钉	10073	　	0	0			0	13	7	0	165	2	200	0		0	1		0		3	atRangeWeaponDamageBase	13	13	atRangeWeaponDamageRand	9	9	atInvalid												5	45											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			钉子					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
149	水柔镖	10074	　	0	0			0	13	7	0	165	2	200	0		0	1		0		3	atRangeWeaponDamageBase	13	13	atRangeWeaponDamageRand	9	9	atInvalid												5	45											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	0							1			1
150	射影钉	10075	　	0	0			0	13	7	0	168	2	200	0		0	1		0		4	atRangeWeaponDamageBase	15	15	atRangeWeaponDamageRand	10	10	atInvalid												5	45											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			钉子					2	4	7																		735		2	0		0	0	67108863		0	0							1			1
151	梨花针	10076	　	0	0			0	13	7	0	168	2	200	0		0	1		0		4	atRangeWeaponDamageBase	15	15	atRangeWeaponDamageRand	10	10	atInvalid												5	45											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落								2	4	7																		735		2	0		0	0	67108863		0	0							1			1
152	金钱镖·逢春	10077	　	0	0			0	13	7	0	168	2	200	0		0	1		0		2	atRangeWeaponDamageBase	11	11	atRangeWeaponDamageRand	7	7	atInvalid												5	52											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
153	开云	10078	　	0	0			0	13	7	0	201	3	200	0		0	1		0		3	atRangeWeaponDamageBase	16	16	atRangeWeaponDamageRand	10	10	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	1							1			1
154	金钱镖·阳花	10079	　	0	0			0	13	7	0	174	2	200	0		0	1		0		2	atRangeWeaponDamageBase	11	11	atRangeWeaponDamageRand	8	8	atInvalid												5	54											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖	金				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
155	铁珠·天公	10080	　	0	0			0	13	6	0	180	2	200	0		0	1		0		2	atRangeWeaponDamageBase	12	12	atRangeWeaponDamageRand	8	8	atInvalid												5	56											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
156	半月刀	10081	　	0	0			0	13	7	0	180	1	200	0		0	1		0		1	atRangeWeaponDamageBase	9	9	atRangeWeaponDamageRand	6	6	atInvalid												5	56											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	商店					1			2	4	7																		735		0	0		0	0	67108863		0	0							1			1
157	铁珠·碎骨	10082	　	0	0			0	13	6	0	186	2	200	0		0	1		0		2	atRangeWeaponDamageBase	12	12	atRangeWeaponDamageRand	8	8	atInvalid												5	58											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
158	傲鹰	10083	　	0	0			0	13	6	0	219	3	200	0		0	1		0		3	atRangeWeaponDamageBase	17	17	atRangeWeaponDamageRand	11	11	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	1							1			1
159	铁珠·碎骨	10084	　	0	0			0	13	6	0	192	2	200	0		0	1		0		2	atRangeWeaponDamageBase	12	12	atRangeWeaponDamageRand	8	8	atInvalid												5	60											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
160	霸王镖	10085	　	0	0			0	13	7	0	210	2	200	0		0	1		0		3	atRangeWeaponDamageBase	16	16	atRangeWeaponDamageRand	11	11	atInvalid												5	55											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	1							1			1
161	蝴蝶镖	10086	　	0	0			0	13	7	0	210	2	200	0		0	1		0		3	atRangeWeaponDamageBase	16	16	atRangeWeaponDamageRand	11	11	atInvalid												5	55											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		1	0		0	0	67108863		0	1							1			1
162	浮光刀	10087	　	0	0			0	13	7	0	214	2	200	0		0	1		0		4	atRangeWeaponDamageBase	20	20	atRangeWeaponDamageRand	13	13	atInvalid												5	55											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞刀					2	4	7																		735		2	0		0	0	67108863		0	1							1			1
163	蝗雨镖	10088	　	0	0			0	13	7	0	214	2	200	0		0	1		0		4	atRangeWeaponDamageBase	20	20	atRangeWeaponDamageRand	13	13	atInvalid												5	55											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			飞镖					2	4	7																		735		2	0		0	0	67108863		0	1							1			1
164	铁珠·天公	10089	　	0	0			0	13	6	0	198	2	200	0		0	1		0		2	atRangeWeaponDamageBase	13	13	atRangeWeaponDamageRand	9	9	atInvalid												5	62											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	0							1			1
165	铁珠·碎骨	10090	　	0	0			0	13	6	0	204	2	200	0		0	1		0		2	atRangeWeaponDamageBase	13	13	atRangeWeaponDamageRand	9	9	atInvalid												5	64											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	1							1			1
166	莲芯	10091	　	0	0			0	13	6	0	237	3	200	0		0	1		0		3	atRangeWeaponDamageBase	19	19	atRangeWeaponDamageRand	12	12	atInvalid												0	0											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	任务								2	4	7																		735		1	0		0	0	67108863		0	1							1			1
167	铁珠·碎骨	10092	　	0	0			0	13	6	0	210	2	200	0		0	1		0		2	atRangeWeaponDamageBase	14	14	atRangeWeaponDamageRand	9	9	atInvalid												5	66											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	掉落			铁珠	铁				2	4	7																		735		1	0		0	0	67108863		0	1							1			1
168	悲鸣	10093	　	0	0			0	13	7	0	298	3	200	0		0	1		0		3	atRangeWeaponDamageBase	23	23	atRangeWeaponDamageRand	16	16	atInvalid												5	60											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	副本								2	4	7																		735		1	0		4	0	67108863		0	1							1			1
169	铁笛	24748	　	701	0			0	0	10	3	90	1	191	47		0	1		0		1	atMeleeWeaponDamageBase	8	8	atMeleeWeaponDamageRand	5	5	atMeleeWeaponAttackSpeedBase	16	16										5	26											46	21	39	43	22	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1
170	蛇型笛	24749	　	703	0			0	0	10	4	120	1	247	60		0	1		0		1	atMeleeWeaponDamageBase	10	10	atMeleeWeaponDamageRand	7	7	atMeleeWeaponAttackSpeedBase	16	16										5	36											79	52	64	67	29	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1
171	点钢笛	24750	　	704	0			0	0	10	5	150	1	307	73		0	1		0		1	atMeleeWeaponDamageBase	13	13	atMeleeWeaponDamageRand	9	9	atMeleeWeaponAttackSpeedBase	16	16										5	46											138	49	106	110	45	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1
172	锥笛	24751	　	706	0			0	0	10	7	180	1	372	86		0	1		0		1	atMeleeWeaponDamageBase	16	16	atMeleeWeaponDamageRand	10	10	atMeleeWeaponAttackSpeedBase	16	16										5	56											111	55	133	85	54	0	0	0	0	0	0	0							——	——	——	商店								1	8	7												0	0	0	0	0	0	735	16	0	0		0	6	67108863		0	0							1		0	1
173	虚空菩提子	10098	　	0	0			0	13	6	0	281	2	200	0		0	1		0		4	atRangeWeaponDamageBase	26	26	atRangeWeaponDamageRand	17	17	atInvalid												5	70											0	0	0	0	0	0	0	0	0	0	0	0							——	——	——	副本								2	4	7																		735		2	0		4	0	67108863		0	1							1			1
174	青铜笛·钩镰	24752	　	709	0			0	0	10	8	81	2	218	43		0	1		0		2	atMeleeWeaponDamageBase	9	9	atMeleeWeaponDamageRand	6	6	atMeleeWeaponAttackSpeedBase	16	16										5	23											232	63	0	0	0	0	0	0	0	0	0	0							——	内功	基础	商店								1	8	7												17	17845	0	0	0	0	735	16	1	0		0	6	67108863		0	0							1		0	1
